TEXAS A&M ENGINEERING EXPERIMENT STATION;1400000;NSF
UNIVERSITY OF RHODE ISLAND;280691;NSF
PRESIDENT AND BOARD OF TRUSTEES OF SANTA CLARA COLLEGE;407821;NSF
SOUTHERN METHODIST UNIVERSITY INC;22140;NSF
RENSSELAER POLYTECHNIC INSTITUTE;10000;NSF
KENNESAW STATE UNIVERSITY RESEARCH AND SERVICE FOUNDATION, INC.;103041;NSF
HOWARD UNIVERSITY, INC.;18000;NASA
UNIVERSITY OF TEXAS AT AUSTIN;10000;NSF
UNIVERSITY OF CALIFORNIA, SAN DIEGO;751521;NSF
UNIVERSITY OF TEXAS AT DALLAS;24786608;NSF
UNIVERSITY OF NORTH CAROLINA AT CHAPEL HILL;361891;NSF
BLUE MARBLE SPACE;24460;NASA
TEACHERS COLLEGE, COLUMBIA UNIVERSITY;548676;NSF
UNIVERSITY OF CALIFORNIA, SAN DIEGO;909748;NSF
WHATCOM COMMUNITY COLLEGE;2095549;NSF
21ST CENTURY PARTNERSHIP FOR STEM EDUCATION, THE;428763;NSF
TRUSTEES OF PRINCETON UNIVERSITY, THE;3078369;NSF
SAINT LOUIS UNIVERSITY;20000;NASA
UNIVERSITY OF CALIFORNIA, SAN DIEGO;12000000;NSF
ARIZONA STATE UNIVERSITY;963383;NASA
RENSSELAER POLYTECHNIC INSTITUTE;90000;NASA
UNIVERSITY OF ARIZONA;377542;NSF
NORTH CAROLINA STATE UNIVERSITY;288632;NSF
NORTHERN KENTUCKY UNIVERSITY RESEARCH FOUNDATION, INC.;222783;NSF
UNIVERSITY OF CONNECTICUT;50000;NSF
TEXAS TECH UNIVERSITY SYSTEM;50000;NSF
TRUSTEES OF THE UNIVERSITY OF PENNSYLVANIA;469165;NSF
REGENTS OF THE UNIVERSITY OF MINNESOTA;666412;NSF
WASHINGTON UNIVERSITY, THE;250000;NSF
REGENTS OF THE UNIVERSITY OF MICHIGAN;50000;NSF
VIRGINIA POLYTECHNIC INSTITUTE & STATE UNIVERSITY;360628;NSF
TRUSTEES OF COLUMBIA UNIVERSITY IN THE CITY OF NEW YORK;50000;NSF
UNIVERSITY OF NOTRE DAME DU LAC;205324;NSF
RESEARCH FOUNDATION OF STATE UNIVERSITY OF NEW YORK, THE;9990786;NSF
TRUSTEES OF BOSTON UNIVERSITY;50000;NSF
CARNEGIE MELLON UNIVERSITY;6149451;NSF
INNOVATIVE IMAGING & RESEARCH CORP;20044;NASA
COLLEGE OF THE SEQUOIAS FOUNDATION;6582;NASA
OAKLAND UNIVERSITY;114191;NSF
UNIVERSITY OF ARIZONA;2000370;NSF
SYRACUSE UNIVERSITY;340766;NSF
REGENTS OF THE UNIVERSITY OF CALIFORNIA, THE;1975600;NSF
UNIVERSITY OF ARKANSAS SYSTEM;370586;NSF
UNIVERSITY OF TEXAS AT AUSTIN;11194293;NSF
THE AEROSPACE CORPORATION;50000;NASA
NORTH CAROLINA AGRICULTURAL AND TECHNICAL STATE UNIVERSITY;1753676;NASA
CITY UNIVERSITY OF NEW YORK, THE;1826608;NASA
TEXAS A & M UNIVERSITY;1704852;NASA
UNIVERSITY OF CALIFORNIA, LOS ANGELES;227751;NASA
VIRGINIA POLYTECHNIC INSTITUTE & STATE UNIVERSITY;1378052;NASA
OKLAHOMA STATE UNIVERSITY;0;NSF
REGENTS OF THE UNIVERSITY OF CALIFORNIA, THE;100000;NSF
UNIVERSITY OF ILLINOIS;85109120;NSF
UNIVERSITY OF CALIFORNIA, SAN DIEGO;8000000;NSF
REGENTS OF THE UNIVERSITY OF COLORADO, THE;17321;NSF
UNIVERSITIES SPACE RESEARCH ASSOCIATION;3000000;NASA
WILLIAM MARSH RICE UNIVERSITY;90000;NASA
CATHOLIC UNIVERSITY OF AMERICA (THE);90000;NASA
VANDERBILT UNIVERSITY, THE;90000;NASA
REGENTS OF THE UNIVERSITY OF CALIFORNIA, THE;90000;NASA
SMITHSONIAN INSTITUTION;29000;NASA
UNIVERSITY OF TEXAS AT AUSTIN;90000;NASA
TEXAS A&M ENGINEERING EXPERIMENT STATION;90000;NASA
UNIVERSITY OF MARYLAND;334652;NASA
GEORGIA TECH RESEARCH CORPORATION;90000;NASA
UNIVERSITY OF CALIFORNIA MERCED;2172743;NSF
CALIFORNIA INSTITUTE OF TECHNOLOGY;8000000;NSF
RESEARCH FOUNDATION OF THE CITY UNIVERSITY OF NEW YORK;59640;NSF
PENNSYLVANIA STATE UNIVERSITY, THE;2075076;NSF
UNIVERSITY OF SOUTHERN CALIFORNIA;749852;NSF
UNIVERSITY OF ARIZONA;2687255;NSF
REGENTS OF THE UNIVERSITY OF COLORADO, THE;1917100;NSF
UNIVERSITY OF CALIFORNIA, DAVIS;92983;NSF
UNIVERSITY OF CALIFORNIA, IRVINE;126770;NASA
REGENTS OF THE UNIVERSITY OF MICHIGAN;116140;NSF
LELAND STANFORD JUNIOR UNIVERSITY, THE;50000;NSF
NORTH CAROLINA STATE UNIVERSITY;10000;NSF
TEXAS A&M ENGINEERING EXPERIMENT STATION;50000;NSF
REGENTS OF THE UNIVERSITY OF CALIFORNIA, THE;50000;NSF
REGENTS OF THE UNIVERSITY OF MICHIGAN;50000;NSF
TRUSTEES OF INDIANA UNIVERSITY;407022;NSF
LELAND STANFORD JUNIOR UNIVERSITY, THE;509355;NASA
UNIVERSITY OF MARYLAND;120000;NASA
YOUR COMMUNITY FOUNDATION, INC.;5150;NASA
MORGAN STATE UNIVERSITY (INC);20000;NASA
NEW MEXICO INSTITUTE OF MINING AND TECHNOLOGY;120000;NASA
RECINTO UNIVERSITARIO MAYAGUEZ;15585;NASA
NAVAJO TECHNICAL COLLEGE;4635;NASA
CASE WESTERN RESERVE UNIVERSITY;135000;NASA
SAN DIEGO STATE UNIVERSTIY FOUNDATION;40000;NASA
UNIVERSITY OF ILLINOIS;27384094;NSF
UNIVERSITY OF TEXAS AT AUSTIN;733500;NSF
LELAND STANFORD JUNIOR UNIVERSITY, THE;244500;NSF
UNIVERSITY OF WASHINGTON;12943836;NSF
UNIVERSITY OF TEXAS AT ARLINGTON;135000;NASA
UNIVERSITY OF MARYLAND;150000;NASA
UNIVERSITY OF SOUTHERN MISSISSIPPI;40000;NASA
UNIVERSITY OF TEXAS AT AUSTIN;45000;NASA
LOYOLA UNIVERSITY OF CHICAGO;173956;NSF
TRIANGLE COALITION FOR SCIENCE AND TECHNOLOGY EDUCATION;1730592;NSF
BOARD OF REGENTS OF THE UNIVERSITY OF NEBRASKA;101331;NSF
REGENTS OF THE UNIVERSITY OF MINNESOTA;842408;NSF
BROWN UNIVERSITY IN PROVIDENCE IN STATE OF RI AND PROVIDENCE PLANTATIONS;90000;NASA
REGENTS OF THE UNIVERSITY OF COLORADO, THE;90000;NASA
JOHNS HOPKINS UNIVERSITY, THE;1033447;NASA
UNIVERSITY OF SOUTHERN MISSISSIPPI;90000;NASA
UNIVERSITY OF TEXAS AT AUSTIN;90000;NASA
YALE UNIVERSITY;90000;NASA
DORDT COLLEGE, INCORPORATED;248652;NSF
HOPE COLLEGE;399511;NSF
DREXEL UNIVERSITY;0;NSF
NATIONAL ACADEMY OF SCIENCES;99713;NSF
OREGON STATE UNIVERSITY;93239;NSF
WILKES UNIVERSITY;0;NSF
TRUSTEES OF INDIANA UNIVERSITY;477848;NSF
LELAND STANFORD JUNIOR UNIVERSITY, THE;184626;NSF
CARTHAGE COLLEGE;40800;NASA
SETI INSTITUTE;35000;NASA
NORTHERN KENTUCKY UNIVERSITY RESEARCH FOUNDATION, INC.;497841;NASA
CARNEGIE MELLON UNIVERSITY;499680;NSF
IMPACTSTORY INC.;297500;NSF
TRUSTEES OF THE UNIVERSITY OF PENNSYLVANIA;700000;NSF
UNIVERSITY OF MASSACHUSETTS;135000;NASA
WOODS HOLE OCEANOGRAPHIC INSTITUTION;135000;NASA
UNIVERSITY OF ARKANSAS SYSTEM;135000;NASA
SAN JOSE STATE UNIVERSITY RESEARCH FOUNDATION;49987;NSF
REGENTS OF THE UNIVERSITY OF COLORADO, THE;5396485;NSF
UNIVERSITY OF TEXAS AT AUSTIN;390000;NSF
GANNON UNIVERSITY;49998;NASA
UNIVERSITY OF CINCINNATI;45000;NASA
UNIVERSITY OF WASHINGTON;250000;NASA
UTAH STATE UNIVERSITY;49914;NASA
GAMEDESK, INC.;349723;NSF
UNIVERSITY OF NORTH CAROLINA AT CHARLOTTE;20000;NSF
UNIVERSITY OF DELAWARE;400000;NSF
OHIO STATE UNIVERSITY, THE;685063;NSF
UNIVERSITY OF ILLINOIS;300000;NSF
RECTOR & VISITORS OF THE UNIVERSITY OF VIRGINIA;250538;NSF
TEMPLE UNIVERSITY-OF THE COMMONWEALTH SYSTEM OF HIGHER EDUCATION;66000;NSF
REGENTS OF THE UNIVERSITY OF COLORADO, THE;45000;NASA
CARNEGIE MELLON UNIVERSITY;499040;NASA
TETHERS UNLIMITED, INC.;499791;NASA
UNIVERSITY OF CHICAGO, THE;89810;NSF
NORTHWESTERN UNIVERSITY;140000;NSF
UNIVERSITY OF CALIFORNIA, DAVIS;30794;NSF
UNIVERSITY CORPORATION, THE;198457;NASA
TRUSTEES OF PRINCETON UNIVERSITY, THE;22000;NASA
SOUTHWEST RESEARCH INSTITUTE;205306;NASA
OREGON MUSEUM OF SCIENCE AND INDUSTRY;1335649;NSF
UNIVERSITY OF TEXAS AT EL PASO;1374006;NSF
ABT ASSOCIATES INC.;199922;NSF
AUGSBURG COLLEGE;141762;NSF
UNIVERSITY OF CALIFORNIA, DAVIS;1247517;NSF
UNIVERSITY OF TEXAS AT SAN ANTONIO;43950;NSF
TEXAS A&M UNIVERSITY-CORPUS CHRISTI;87582;NASA
INCORPORATED RESEARCH INSTITUTIONS FOR SEISMOLOGY;54058240;NSF
SCIENCE MUSEUM OF MINNESOTA, THE;899739;NSF
OCEAN DISCOVERY INSTITUTE;249985;NSF
KCP TECHNOLOGIES;23761;NSF
REGENTS OF THE UNIVERSITY OF MINNESOTA;681390;NSF
FLORIDA STATE UNIVERSITY, THE;250016;NSF
AMERICAN SOCIETY FOR ENGINEERING EDUCATION;271465;NSF
REGENTS OF THE UNIVERSITY OF MINNESOTA;350000;NSF
UNIVERSITY OF CALIFORNIA, SANTA CRUZ;170031;NSF
UNIVERSITY OF TEXAS AT AUSTIN;49853;NSF
RUTGERS, THE STATE UNIVERSITY OF NEW JERSEY;24910;NSF
SYRACUSE UNIVERSITY;24974;NSF
NATIONAL ACADEMY OF SCIENCES;45383;NSF
OREGON MUSEUM OF SCIENCE AND INDUSTRY;790066;NSF
UNIVERSITY OF TEXAS AT AUSTIN;50000;NSF
PURDUE UNIVERSITY;1497905;NSF
NATIONAL ACADEMY OF SCIENCES;652088;NSF
TRUSTEES OF DARTMOUTH COLLEGE;148876;NSF
MAINE MATHEMATICS AND SCIENCE ALLIANCE;886096;NSF
JOHNS HOPKINS UNIVERSITY, THE;796205;NSF
SMITHSONIAN INSTITUTION;39232;NSF
CARNEGIE INSTITUTE;165750;NSF
EXPLORATORIUM, THE;977830;NSF
NORTH CAROLINA STATE UNIVERSITY;438831;NSF
APPALACHIAN STATE UNIVERSITY;149785;NASA
OLD DOMINION UNIVERSITY RESEARCH FOUNDATION;496702;NASA
MUSEUM OF SCIENCE, INC.;1343449;NSF
UNIVERSITY OF MASSACHUSETTS;249999;NSF
UNIVERSITY OF SOUTH FLORIDA;50000;NSF
UNIVERSITY OF ALASKA FAIRBANKS;45000;NASA
PENNSYLVANIA STATE UNIVERSITY, THE;436634;NASA
XAVIER UNIVERSITY OF LOUISIANA;500000;NASA
NEW YORK UNIVERSITY;75000;NASA
CATHOLIC UNIVERSITY OF AMERICA (THE);40170;NASA
AMERICAN UNIVERSITY;500000;NASA
UNIVERSITY OF ILLINOIS;2093707;NSF
GEORGIA TECH RESEARCH CORPORATION;15913;NSF
UNIVERSITY OF MISSOURI SYSTEM;25000;NSF
RECTOR & VISITORS OF THE UNIVERSITY OF VIRGINIA;799920;NSF
UNIVERSITY OF CALIFORNIA, SAN DIEGO;19751431;NSF
CARNEGIE MELLON UNIVERSITY;199975;NSF
MORGAN STATE UNIVERSITY (INC);45973;NSF
COLORADO STATE UNIVERSITY;58233;NSF
LELAND STANFORD JUNIOR UNIVERSITY, THE;250000;NSF
UNIVERSITY OF ARIZONA;218690;NSF
SAN DIEGO STATE UNIVERSTIY FOUNDATION;726733;NSF
MATERIALS RESEARCH SOCIETY;3000;NSF
FAIRMONT STATE UNIVERSITY;3300414;NASA
WILLIAM MARSH RICE UNIVERSITY;263060;NSF
TRUSTEES OF BOSTON UNIVERSITY;236917;NSF
YOUNGSTOWN STATE UNIVERSITY;129750;NSF
UNIVERSITY OF ARIZONA;1499415;NSF
UNIVERSITY OF CALIFORNIA, IRVINE;2819380;NSF
REGENTS OF THE UNIVERSITY OF MINNESOTA;119286;NASA
REGENTS OF THE UNIVERSITY OF COLORADO, THE;199513;NASA
UNIVERSITY OF SOUTHERN CALIFORNIA;99462;NSF
RESEARCH FOUNDATION OF THE CITY UNIVERSITY OF NEW YORK;425440;NSF
TRUSTEES OF INDIANA UNIVERSITY;419500;NSF
UNIVERSITY OF MASSACHUSETTS;300916;NSF
CONSERVATION INTERNATIONAL FOUNDATION;620844;NSF
TOWSON UNIVERSITY;133525;NSF
NORTHEASTERN UNIVERSITY;374630;NSF
TRUSTEES OF THE UNIVERSITY OF PENNSYLVANIA;514999;NSF
RESEARCH FOUNDATION OF THE CITY UNIVERSITY OF NEW YORK;95287;NASA
REGENTS OF THE UNIVERSITY OF CALIFORNIA, THE;749879;NSF
REGENTS OF THE UNIVERSITY OF MINNESOTA;566000;NSF
VIRGINIA POLYTECHNIC INSTITUTE & STATE UNIVERSITY;150000;NSF
TEXAS A&M ENGINEERING EXPERIMENT STATION;120310;NASA
CHICAGO HORTICULTURAL SOCIETY;1130148;NSF
CLEVELAND STATE UNIVERSITY;268699;NSF
DUKE UNIVERSITY;83122;NSF
PURDUE UNIVERSITY;35343;NSF
NORTHERN ILLINOIS UNIVERSITY INC;38289;NSF
TRUSTEES OF THE UNIVERSITY OF PENNSYLVANIA;600000;NSF
UNIVERSITY OF MARYLAND;1408908;NSF
PURDUE UNIVERSITY;3409029;NSF
CARNEGIE MELLON UNIVERSITY;49971;NASA
RECTOR & VISITORS OF THE UNIVERSITY OF VIRGINIA;50000;NASA
AMHERST COLLEGE, TRUSTEES OF;91025;NSF
MATHEMATICAL ASSOCIATION OF AMERICA, INC;833104;NSF
LONGWOOD UNIVERSITY;287186;NSF
UNIVERSITY OF CALIFORNIA, DAVIS;400000;NSF
LEHIGH UNIVERSITY;150000;NSF
VECARIUS, INC.;499900;NSF
RENSSELAER POLYTECHNIC INSTITUTE;2468340;NSF
UNIVERSITY OF PUERTO RICO MEDICAL SCIENCES CAMPUS;431523;NSF
UNIVERSITY OF CALIFORNIA, DAVIS;310000;NSF
CORNELL UNIVERSITY, INC;352047;NSF
DUKE UNIVERSITY;259990;NSF
WASHINGTON UNIVERSITY, THE;398305;NSF
LELAND STANFORD JUNIOR UNIVERSITY, THE;145285;NSF
UNIVERSITY OF NEBRASKA;448603;NSF
NORTHEASTERN UNIVERSITY;524000;NSF
WESTAT, INC.;569483;NSF
JOHNS HOPKINS UNIVERSITY, THE;247567;NASA
NORTHWESTERN UNIVERSITY;13000;NSF
NMC, INC.;924035;NSF
UNIVERSITY OF CALIFORNIA, IRVINE;3835250;NSF
GEORGIA TECH RESEARCH CORPORATION;477724;NSF
EDUCATION DEVELOPMENT CENTER, INC.;4543465;NSF
UNIVERSITY OF CALIFORNIA, SAN DIEGO;329320;NSF
UNIVERSITY OF HAWAII SYSTEMS;3015545;NASA
UNIVERSITY OF HOUSTON SYSTEM;141930;NASA
UNIVERSITY OF MIAMI;9146157;NASA
TEXAS A&M ENGINEERING EXPERIMENT STATION;150000;NASA
UNIVERSITY OF MARYLAND;176368;NASA
UNIVERSITY OF GEORGIA RESEARCH FOUNDATION, INC.;17213;NSF
GEORGIA TECH RESEARCH CORPORATION;90594;NSF
UNIVERSITY OF WASHINGTON;1993731;NSF
TRUSTEES OF INDIANA UNIVERSITY;88168;NSF
OHIO STATE UNIVERSITY, THE;98721;NSF
CENTRAL STATE UNIVERSITY;99996;NSF
UNIVERSITY OF CALIFORNIA MERCED;552355;NSF
REGENTS OF THE UNIVERSITY OF COLORADO, THE;50434;NASA
UNIVERSITY OF FLORIDA;1440431;NSF
CARNEGIE MELLON UNIVERSITY;650000;NSF
TEXAS A&M UNIVERSITY-CORPUS CHRISTI;1497936;NSF
THE GEORGE WASHINGTON UNIVERSITY;270000;NASA
UNIVERSITY OF ARIZONA;294054;NASA
GEORGIA TECH RESEARCH CORPORATION;4603038;NASA
STROUD WATER RESEARCH CENTER INC;1366089;NSF
SMITHSONIAN INSTITUTION;875000;NSF
BAYLOR UNIVERSITY;52670;NSF
UNIVERSITY OF WASHINGTON;69152;NSF
REGENTS OF THE UNIVERSITY OF CALIFORNIA, THE;498412;NSF
CAL POLY CORPORATION;105710;NSF
CARNEGIE MELLON UNIVERSITY;1503349;NSF
SIENA COLLEGE (INC);61323;NASA
UNIVERSITY OF TENNESSEE;225000;NSF
TEXAS STATE UNIVERSITY-SAN MARCOS;375759;NSF
ILLINOIS INSTITUTE OF TECHNOLOGY;0;NSF
SOUTH DAKOTA DISCOVERY CENTER AND AQUARIUM, THE;480261;NASA
UNIVERSITY OF FLORIDA;58000;NASA
PENNSYLVANIA STATE UNIVERSITY, THE;125000;NSF
UNIVERSITY OF PITTSBURGH THE;1155034;NSF
UNIVERSITY OF CALIFORNIA, SAN DIEGO;433911;NSF
TEXAS TECH UNIVERSITY SYSTEM;389272;NSF
WRIGHT STATE UNIVERSITY;400000;NSF
UNIVERSITY OF WASHINGTON;785949;NSF
UNIVERSITY OF ILLINOIS;499936;NSF
REGENTS OF THE UNIVERSITY OF CALIFORNIA AT RIVERSIDE;300000;NSF
MIAMI UNIVERSITY;99811;NSF
THERMOAURA INC.;758000;NSF
MASSCHALLENGE INC;50000;NSF
AUBURN UNIVERSITY;13939;NSF
RECTOR & VISITORS OF THE UNIVERSITY OF VIRGINIA;161982;NSF
UNIVERSITIES SPACE RESEARCH ASSOCIATION;11850731;NASA
VIRGINIA POLYTECHNIC INSTITUTE & STATE UNIVERSITY;106392;NASA
UNIVERSITY OF SOUTH CAROLINA;30000;NSF
CONCORD CONSORTIUM INC;999921;NSF
BEREA COLLEGE;296388;NSF
