1927,1,Governmental/Social
1936,1,Post-apocalyptic
1951,1,Post-apocalyptic
1956,1,Governmental/Social
1959,1,Post-apocalyptic
1959,1,Post-apocalyptic
1962,1,Post-apocalyptic
1962,1,Post-apocalyptic
1962,1,Governmental/Social
1964,1,Post-apocalyptic
1965,1,Governmental/Social
1966,1,Governmental/Social
1967,1,Governmental/Social
1968,1,Post-apocalyptic
1969,1,Miscellaneous
1969,1,Post-apocalyptic
1970,1,Post-apocalyptic
1970,1,Post-apocalyptic
1971,1,Governmental/Social
1971,1,Miscellaneous
1971,1,Governmental/Social
1971,1,Post-apocalyptic
1971,1,Governmental/Social
1972,1,Miscellaneous
1972,1,Governmental/Social
1972,1,Governmental/Social
1973,1,Miscellaneous
1973,1,Alien controlled
1973,1,Post-apocalyptic
1973,1,Governmental/Social
1973,1,Governmental/Social
1973,1,Governmental/Social
1974,1,Post-apocalyptic
1974,1,Post-apocalyptic
1974,1,Post-apocalyptic
1974,1,Post-apocalyptic
1975,1,Governmental/Social
1975,1,Corporate based
1975,1,Post-apocalyptic
1975,1,Post-apocalyptic
1976,1,Governmental/Social
1976,1,Miscellaneous
1977,1,Post-apocalyptic
1977,1,Governmental/Social
1978,1,Governmental/Social
1979,1,Corporate based
1979,1,Post-apocalyptic
1979,1,Corporate based
1979,1,Post-apocalyptic
1980,1,Governmental/Social
1980,1,Post-apocalyptic
1981,1,Governmental/Social
1981,1,Post-apocalyptic
1981,1,Corporate based
1981,1,Post-apocalyptic
1982,1,Governmental/Social
1982,1,Post-apocalyptic
1982,1,Governmental/Social
1983,1,Post-apocalyptic
1983,1,Post-apocalyptic
1983,1,Post-apocalyptic
1983,1,Post-apocalyptic
1983,1,Cyberpunk/techno
1983,1,Post-apocalyptic
1984,1,Governmental/Social
1984,1,Corporate based
1984,1,Cyberpunk/techno
1984,1,Post-apocalyptic
1985,1,Governmental/Social
1985,1,Post-apocalyptic
1985,1,Post-apocalyptic
1985,1,Corporate based
1985,1,Post-apocalyptic
1986,1,Corporate based
1986,1,Governmental/Social
1986,1,Governmental/Social
1986,1,Post-apocalyptic
1987,1,Post-apocalyptic
1987,1,Governmental/Social
1987,1,Post-apocalyptic
1987,1,Governmental/Social
1988,1,Cyberpunk/techno
1988,1,Post-apocalyptic
1988,1,Alien controlled
1989,1,Post-apocalyptic
1989,1,Post-apocalyptic
1989,1,Post-apocalyptic
1990,1,Governmental/Social
1990,1,Corporate based
1990,1,Corporate based
1990,1,Corporate based
1990,1,Governmental/Social
1990,1,Governmental/Social
1990,1,Post-apocalyptic
1991,1,Post-apocalyptic
1991,1,Corporate based
1991,1,Miscellaneous
1991,1,Cyberpunk/techno
1992,1,Corporate based
1992,1,Corporate based
1993,1,Governmental/Social
1993,1,Post-apocalyptic
1993,1,Corporate based
1994,1,Corporate based
1994,1,Post-apocalyptic
1995,1,Governmental/Social
1995,1,Cyberpunk/techno
1995,1,Governmental/Social
1995,1,Corporate based
1995,1,Governmental/Social
1995,1,Governmental/Social
1995,1,Governmental/Social
1995,1,Corporate based
1995,1,Post-apocalyptic
1996,1,Governmental/Social
1996,1,Cyberpunk/techno
1997,1,Corporate based
1997,1,Governmental/Social
1997,1,Cyberpunk/techno
1997,1,Governmental/Social
1997,1,Corporate based
1997,1,Post-apocalyptic
1998,1,Governmental/Social
1998,1,Miscellaneous
1998,1,Post-apocalyptic
1998,1,Governmental/Social
1999,1,Cyberpunk/techno
1999,1,Governmental/Social
1999,1,Governmental/Social
2000,1,Governmental/Social
2000,1,Alien controlled
2000,1,Governmental/Social
2000,1,Post-apocalyptic
2000,1,Alien controlled
2000,1,Post-apocalyptic
2001,1,Corporate based
2001,1,Cyberpunk/techno
2001,1,Governmental/Social
2001,1,Cyberpunk/techno
2001,1,Miscellaneous
2001,1,Governmental/Social
2002,1,Post-apocalyptic
2002,1,Corporate based
2002,1,Governmental/Social
2002,1,Governmental/Social
2002,1,Corporate based
2002,1,Corporate based
2003,1,Governmental/Social
2003,1,Governmental/Social
2003,1,Miscellaneous
2003,1,Cyberpunk/techno
2003,1,Governmental/Social
2003,1,Cyberpunk/techno
2003,1,Governmental/Social
2003,1,Governmental/Social
2003,1,Post-apocalyptic
2004,1,Post-apocalyptic
2004,1,Governmental/Social
2004,1,Governmental/Social
2004,1,Governmental/Social
2004,1,Corporate based
2004,1,Corporate based
2004,1,Alien controlled
2004,1,Corporate based
2004,1,Governmental/Social
2005,1,Governmental/Social
2005,1,Governmental/Social
2005,1,Governmental/Social
2005,1,Governmental/Social
2006,1,Governmental/Social
2006,1,Governmental/Social
2006,1,Governmental/Social
2006,1,Governmental/Social
2006,1,Governmental/Social
2006,1,Post-apocalyptic
2006,1,Cyberpunk/techno
2006,1,Governmental/Social
2006,1,Governmental/Social
2006,1,Governmental/Social
2007,1,Post-apocalyptic
2007,1,Post-apocalyptic
2007,1,Post-apocalyptic
2007,1,Corporate based
2007,1,Alien controlled
2007,1,Governmental/Social
2007,1,Miscellaneous
2007,1,Alien controlled
2007,1,Corporate based
2008,1,Post-apocalyptic
2008,1,Governmental/Social
2008,1,Governmental/Social
2008,1,Post-apocalyptic
2008,1,Governmental/Social
2008,1,Governmental/Social
2008,1,Corporate based
2008,1,Corporate based
2008,1,Cyberpunk/techno
2008,1,Cyberpunk/techno
2008,1,Post-apocalyptic
2009,1,Post-apocalyptic
2009,1,Governmental/Social
2009,1,Miscellaneous
2009,1,Post-apocalyptic
2009,1,Corporate based
2009,1,Governmental/Social
2009,1,Governmental/Social
2009,1,Governmental/Social
2009,1,Corporate based
2009,1,Corporate based
2009,1,Cyberpunk/techno
2009,1,Corporate based
2009,1,Corporate based
2009,1,Cyberpunk/techno
2009,1,Governmental/Social
2009,1,Post-apocalyptic
2010,1,Governmental/Social
2010,1,Governmental/Social
2010,1,Post-apocalyptic
2010,1,Governmental/Social
2010,1,Alien controlled
2010,1,Governmental/Social
2010,1,Governmental/Social
2010,1,Corporate based
2010,1,Post-apocalyptic
2011,1,Governmental/Social
2011,1,Corporate based
2011,1,Governmental/Social
2011,1,Post-apocalyptic
2011,1,Governmental/Social
2012,1,Corporate based
2012,1,Governmental/Social
2012,1,Governmental/Social
2012,1,Governmental/Social
2012,1,Governmental/Social
2012,1,Corporate based
2012,1,Governmental/Social
2012,1,Governmental/Social
2013,1,Governmental/Social
2013,1,Post-apocalyptic
2013,1,Governmental/Social
2013,1,Post-apocalyptic
2013,1,Governmental/Social
