year,month,date_of_month,day_of_week,births
2003,1,1,3,7783
2003,1,2,4,10863
2003,1,3,5,11965
2003,1,4,6,8374
2003,1,5,7,7365
2003,1,6,1,11220
2003,1,7,2,12398
2003,1,8,3,11872
2003,1,9,4,11828
2003,1,10,5,12303
2003,1,11,6,8334
2003,1,12,7,7214
2003,1,13,1,11017
2003,1,14,2,12651
2003,1,15,3,11870
2003,1,16,4,11897
2003,1,17,5,11855
2003,1,18,6,8300
2003,1,19,7,7366
2003,1,20,1,10842
2003,1,21,2,12052
2003,1,22,3,11835
2003,1,23,4,11892
2003,1,24,5,11890
2003,1,25,6,8241
2003,1,26,7,7295
2003,1,27,1,11231
2003,1,28,2,12363
2003,1,29,3,11851
2003,1,30,4,12062
2003,1,31,5,11774
2003,2,1,6,8538
2003,2,2,7,7515
2003,2,3,1,11311
2003,2,4,2,12305
2003,2,5,3,11786
2003,2,6,4,12144
2003,2,7,5,12195
2003,2,8,6,8459
2003,2,9,7,7396
2003,2,10,1,11771
2003,2,11,2,12700
2003,2,12,3,12339
2003,2,13,4,12086
2003,2,14,5,12807
2003,2,15,6,8730
2003,2,16,7,7568
2003,2,17,1,10522
2003,2,18,2,12403
2003,2,19,3,12395
2003,2,20,4,12320
2003,2,21,5,12435
2003,2,22,6,8767
2003,2,23,7,7582
2003,2,24,1,11677
2003,2,25,2,12595
2003,2,26,3,12136
2003,2,27,4,12437
2003,2,28,5,12329
2003,3,1,6,8500
2003,3,2,7,7438
2003,3,3,1,12491
2003,3,4,2,12638
2003,3,5,3,12264
2003,3,6,4,12419
2003,3,7,5,12259
2003,3,8,6,8528
2003,3,9,7,7300
2003,3,10,1,11456
2003,3,11,2,12693
2003,3,12,3,12278
2003,3,13,4,12127
2003,3,14,5,12582
2003,3,15,6,8485
2003,3,16,7,7387
2003,3,17,1,11718
2003,3,18,2,12697
2003,3,19,3,12374
2003,3,20,4,12506
2003,3,21,5,12446
2003,3,22,6,8372
2003,3,23,7,7303
2003,3,24,1,11487
2003,3,25,2,12819
2003,3,26,3,12324
2003,3,27,4,12403
2003,3,28,5,12317
2003,3,29,6,8579
2003,3,30,7,7399
2003,3,31,1,11331
2003,4,1,2,11754
2003,4,2,3,12739
2003,4,3,4,12380
2003,4,4,5,12453
2003,4,5,6,8371
2003,4,6,7,7181
2003,4,7,1,11554
2003,4,8,2,12813
2003,4,9,3,12172
2003,4,10,4,12485
2003,4,11,5,12176
2003,4,12,6,8380
2003,4,13,7,7130
2003,4,14,1,11599
2003,4,15,2,12799
2003,4,16,3,12701
2003,4,17,4,12716
2003,4,18,5,11576
2003,4,19,6,8077
2003,4,20,7,7057
2003,4,21,1,11303
2003,4,22,2,12474
2003,4,23,3,12361
2003,4,24,4,12297
2003,4,25,5,12049
2003,4,26,6,8213
2003,4,27,7,7342
2003,4,28,1,11460
2003,4,29,2,12430
2003,4,30,3,12064
2003,5,1,4,12526
2003,5,2,5,12297
2003,5,3,6,8366
2003,5,4,7,7481
2003,5,5,1,11814
2003,5,6,2,12884
2003,5,7,3,12447
2003,5,8,4,12664
2003,5,9,5,12522
2003,5,10,6,8594
2003,5,11,7,7484
2003,5,12,1,11943
2003,5,13,2,12455
2003,5,14,3,12635
2003,5,15,4,12896
2003,5,16,5,12662
2003,5,17,6,8536
2003,5,18,7,7505
2003,5,19,1,11811
2003,5,20,2,12993
2003,5,21,3,13139
2003,5,22,4,13199
2003,5,23,5,12965
2003,5,24,6,8678
2003,5,25,7,7598
2003,5,26,1,7825
2003,5,27,2,12163
2003,5,28,3,13619
2003,5,29,4,13277
2003,5,30,5,13034
2003,5,31,6,8742
2003,6,1,7,7570
2003,6,2,1,11835
2003,6,3,2,12824
2003,6,4,3,12616
2003,6,5,4,12647
2003,6,6,5,12617
2003,6,7,6,8559
2003,6,8,7,7493
2003,6,9,1,11743
2003,6,10,2,13102
2003,6,11,3,12931
2003,6,12,4,12883
2003,6,13,5,11821
2003,6,14,6,8594
2003,6,15,7,7571
2003,6,16,1,12229
2003,6,17,2,13144
2003,6,18,3,12903
2003,6,19,4,12752
2003,6,20,5,12496
2003,6,21,6,8623
2003,6,22,7,7642
2003,6,23,1,12012
2003,6,24,2,13333
2003,6,25,3,13267
2003,6,26,4,13106
2003,6,27,5,12678
2003,6,28,6,8714
2003,6,29,7,7648
2003,6,30,1,12072
2003,7,1,2,13682
2003,7,2,3,13577
2003,7,3,4,13247
2003,7,4,5,9364
2003,7,5,6,8209
2003,7,6,7,7789
2003,7,7,1,12407
2003,7,8,2,13626
2003,7,9,3,13286
2003,7,10,4,13381
2003,7,11,5,12878
2003,7,12,6,8776
2003,7,13,7,7867
2003,7,14,1,12068
2003,7,15,2,13434
2003,7,16,3,13224
2003,7,17,4,13444
2003,7,18,5,13013
2003,7,19,6,8787
2003,7,20,7,7954
2003,7,21,1,12241
2003,7,22,2,13522
2003,7,23,3,13312
2003,7,24,4,13355
2003,7,25,5,12825
2003,7,26,6,8862
2003,7,27,7,7740
2003,7,28,1,12262
2003,7,29,2,13562
2003,7,30,3,13295
2003,7,31,4,13237
2003,8,1,5,13001
2003,8,2,6,8740
2003,8,3,7,7702
2003,8,4,1,12031
2003,8,5,2,13437
2003,8,6,3,13123
2003,8,7,4,13315
2003,8,8,5,13145
2003,8,9,6,9109
2003,8,10,7,7852
2003,8,11,1,12053
2003,8,12,2,13698
2003,8,13,3,12955
2003,8,14,4,13152
2003,8,15,5,13011
2003,8,16,6,9189
2003,8,17,7,8018
2003,8,18,1,12243
2003,8,19,2,13561
2003,8,20,3,13196
2003,8,21,4,13339
2003,8,22,5,13222
2003,8,23,6,9071
2003,8,24,7,7858
2003,8,25,1,12411
2003,8,26,2,13723
2003,8,27,3,13594
2003,8,28,4,13839
2003,8,29,5,13547
2003,8,30,6,9225
2003,8,31,7,7743
2003,9,1,1,8059
2003,9,2,2,12389
2003,9,3,3,14119
2003,9,4,4,13870
2003,9,5,5,13616
2003,9,6,6,9257
2003,9,7,7,8064
2003,9,8,1,12504
2003,9,9,2,13615
2003,9,10,3,13908
2003,9,11,4,12932
2003,9,12,5,13621
2003,9,13,6,9444
2003,9,14,7,8415
2003,9,15,1,12846
2003,9,16,2,14145
2003,9,17,3,13686
2003,9,18,4,13781
2003,9,19,5,13325
2003,9,20,6,9522
2003,9,21,7,8383
2003,9,22,1,12766
2003,9,23,2,14036
2003,9,24,3,13578
2003,9,25,4,13651
2003,9,26,5,13600
2003,9,27,6,9039
2003,9,28,7,8060
2003,9,29,1,12291
2003,9,30,2,13122
2003,10,1,3,13138
2003,10,2,4,13383
2003,10,3,5,13013
2003,10,4,6,8876
2003,10,5,7,7653
2003,10,6,1,11912
2003,10,7,2,13241
2003,10,8,3,13237
2003,10,9,4,13047
2003,10,10,5,13058
2003,10,11,6,8620
2003,10,12,7,7713
2003,10,13,1,11272
2003,10,14,2,12995
2003,10,15,3,12690
2003,10,16,4,12499
2003,10,17,5,12404
2003,10,18,6,8432
2003,10,19,7,7454
2003,10,20,1,11817
2003,10,21,2,13032
2003,10,22,3,12780
2003,10,23,4,12568
2003,10,24,5,12325
2003,10,25,6,8444
2003,10,26,7,7696
2003,10,27,1,11745
2003,10,28,2,13173
2003,10,29,3,12705
2003,10,30,4,12359
2003,10,31,5,10767
2003,11,1,6,8342
2003,11,2,7,7568
2003,11,3,1,12200
2003,11,4,2,13060
2003,11,5,3,12761
2003,11,6,4,12564
2003,11,7,5,12291
2003,11,8,6,8575
2003,11,9,7,7341
2003,11,10,1,11890
2003,11,11,2,12917
2003,11,12,3,12463
2003,11,13,4,12206
2003,11,14,5,12219
2003,11,15,6,8163
2003,11,16,7,7375
2003,11,17,1,11723
2003,11,18,2,12994
2003,11,19,3,12658
2003,11,20,4,12710
2003,11,21,5,12770
2003,11,22,6,8473
2003,11,23,7,7249
2003,11,24,1,12803
2003,11,25,2,13399
2003,11,26,3,11767
2003,11,27,4,7224
2003,11,28,5,9271
2003,11,29,6,7913
2003,11,30,7,7205
2003,12,1,1,11973
2003,12,2,2,13122
2003,12,3,3,12884
2003,12,4,4,12372
2003,12,5,5,11901
2003,12,6,6,8132
2003,12,7,7,7241
2003,12,8,1,11496
2003,12,9,2,12699
2003,12,10,3,12470
2003,12,11,4,12242
2003,12,12,5,12237
2003,12,13,6,8150
2003,12,14,7,7337
2003,12,15,1,12064
2003,12,16,2,13350
2003,12,17,3,13106
2003,12,18,4,13594
2003,12,19,5,13434
2003,12,20,6,8795
2003,12,21,7,7547
2003,12,22,1,12967
2003,12,23,2,12598
2003,12,24,3,9096
2003,12,25,4,6628
2003,12,26,5,10218
2003,12,27,6,8646
2003,12,28,7,7645
2003,12,29,1,12823
2003,12,30,2,14438
2003,12,31,3,12374
