Awardee;Funds Obligated to Date;Agency
TEXAS A&M ENGINEERING EXPERIMENT STATION;$1,400,000;NSF
UNIVERSITY OF RHODE ISLAND;$280,691;NSF
PRESIDENT AND BOARD OF TRUSTEES OF SANTA CLARA COLLEGE;$407,821;NSF
SOUTHERN METHODIST UNIVERSITY INC;$22,140;NSF
RENSSELAER POLYTECHNIC INSTITUTE;$10,000;NSF
KENNESAW STATE UNIVERSITY RESEARCH AND SERVICE FOUNDATION, INC.;$103,041;NSF
HOWARD UNIVERSITY, INC.;$18,000;NASA
UNIVERSITY OF TEXAS AT AUSTIN;$10,000;NSF
UNIVERSITY OF CALIFORNIA, SAN DIEGO;$751,521;NSF
UNIVERSITY OF TEXAS AT DALLAS;$247,866.08;NSF
UNIVERSITY OF NORTH CAROLINA AT CHAPEL HILL;$361,891;NSF
BLUE MARBLE SPACE;$24,460;NASA
TEACHERS COLLEGE, COLUMBIA UNIVERSITY;$548,676;NSF
UNIVERSITY OF CALIFORNIA, SAN DIEGO;$909,748;NSF
WHATCOM COMMUNITY COLLEGE;$2,095,549;NSF
21ST CENTURY PARTNERSHIP FOR STEM EDUCATION, THE;$428,763;NSF
TRUSTEES OF PRINCETON UNIVERSITY, THE;$3,078,369;NSF
SAINT LOUIS UNIVERSITY;$20,000;NASA
UNIVERSITY OF CALIFORNIA, SAN DIEGO;$12,000,000;NSF
ARIZONA STATE UNIVERSITY;$963,383;NASA
RENSSELAER POLYTECHNIC INSTITUTE;$90,000;NASA
UNIVERSITY OF ARIZONA;$377,542;NSF
NORTH CAROLINA STATE UNIVERSITY;$288,632;NSF
NORTHERN KENTUCKY UNIVERSITY RESEARCH FOUNDATION, INC.;$222,783;NSF
UNIVERSITY OF CONNECTICUT;$50,000;NSF
TEXAS TECH UNIVERSITY SYSTEM;$50,000;NSF
TRUSTEES OF THE UNIVERSITY OF PENNSYLVANIA;$469,165;NSF
REGENTS OF THE UNIVERSITY OF MINNESOTA;$666,412;NSF
WASHINGTON UNIVERSITY, THE;$250,000;NSF
REGENTS OF THE UNIVERSITY OF MICHIGAN;$50,000;NSF
VIRGINIA POLYTECHNIC INSTITUTE & STATE UNIVERSITY;$360,628;NSF
TRUSTEES OF COLUMBIA UNIVERSITY IN THE CITY OF NEW YORK;$50,000;NSF
UNIVERSITY OF NOTRE DAME DU LAC;$205,324;NSF
RESEARCH FOUNDATION OF STATE UNIVERSITY OF NEW YORK, THE;$9,990,786;NSF
TRUSTEES OF BOSTON UNIVERSITY;$50,000;NSF
CARNEGIE MELLON UNIVERSITY;$6,149,451;NSF
INNOVATIVE IMAGING & RESEARCH CORP;$20,044;NASA
COLLEGE OF THE SEQUOIAS FOUNDATION;$6,582;NASA
OAKLAND UNIVERSITY;$114,191;NSF
UNIVERSITY OF ARIZONA;$2,000,370;NSF
SYRACUSE UNIVERSITY;$340,766;NSF
REGENTS OF THE UNIVERSITY OF CALIFORNIA, THE;$1,975,600;NSF
UNIVERSITY OF ARKANSAS SYSTEM;$370,586;NSF
UNIVERSITY OF TEXAS AT AUSTIN;$11,194,293;NSF
THE AEROSPACE CORPORATION;$50,000;NASA
NORTH CAROLINA AGRICULTURAL AND TECHNICAL STATE UNIVERSITY;$17,536.76;NASA
CITY UNIVERSITY OF NEW YORK, THE;$18,266.08;NASA
TEXAS A & M UNIVERSITY;$17,048.52;NASA
UNIVERSITY OF CALIFORNIA, LOS ANGELES;$227,751;NASA
VIRGINIA POLYTECHNIC INSTITUTE & STATE UNIVERSITY;$13,780.52;NASA
OKLAHOMA STATE UNIVERSITY;$0;NSF
REGENTS OF THE UNIVERSITY OF CALIFORNIA, THE;$100,000;NSF
UNIVERSITY OF ILLINOIS;$85,109,120;NSF
UNIVERSITY OF CALIFORNIA, SAN DIEGO;$8,000,000;NSF
REGENTS OF THE UNIVERSITY OF COLORADO, THE;$17,321;NSF
UNIVERSITIES SPACE RESEARCH ASSOCIATION;$3,000,000;NASA
WILLIAM MARSH RICE UNIVERSITY;$90,000;NASA
CATHOLIC UNIVERSITY OF AMERICA (THE);$90,000;NASA
VANDERBILT UNIVERSITY, THE;$90,000;NASA
REGENTS OF THE UNIVERSITY OF CALIFORNIA, THE;$90,000;NASA
SMITHSONIAN INSTITUTION;$29,000;NASA
UNIVERSITY OF TEXAS AT AUSTIN;$90,000;NASA
TEXAS A&M ENGINEERING EXPERIMENT STATION;$90,000;NASA
UNIVERSITY OF MARYLAND;$33,465.2;NASA
GEORGIA TECH RESEARCH CORPORATION;$90,000;NASA
UNIVERSITY OF CALIFORNIA MERCED;$2,172,743;NSF
CALIFORNIA INSTITUTE OF TECHNOLOGY;$8,000,000;NSF
RESEARCH FOUNDATION OF THE CITY UNIVERSITY OF NEW YORK;$59,640;NSF
PENNSYLVANIA STATE UNIVERSITY, THE;$2,075,076;NSF
UNIVERSITY OF SOUTHERN CALIFORNIA;$749,852;NSF
UNIVERSITY OF ARIZONA;$2,687,255;NSF
REGENTS OF THE UNIVERSITY OF COLORADO, THE;$1,917,100;NSF
UNIVERSITY OF CALIFORNIA, DAVIS;$92,983;NSF
UNIVERSITY OF CALIFORNIA, IRVINE;$126,770;NASA
REGENTS OF THE UNIVERSITY OF MICHIGAN;$116,140;NSF
LELAND STANFORD JUNIOR UNIVERSITY, THE;$50,000;NSF
NORTH CAROLINA STATE UNIVERSITY;$10,000;NSF
TEXAS A&M ENGINEERING EXPERIMENT STATION;$50,000;NSF
REGENTS OF THE UNIVERSITY OF CALIFORNIA, THE;$50,000;NSF
REGENTS OF THE UNIVERSITY OF MICHIGAN;$50,000;NSF
TRUSTEES OF INDIANA UNIVERSITY;$407,022;NSF
LELAND STANFORD JUNIOR UNIVERSITY, THE;$509,355;NASA
UNIVERSITY OF MARYLAND;$120,000;NASA
YOUR COMMUNITY FOUNDATION, INC.;$5,150;NASA
MORGAN STATE UNIVERSITY (INC);$20,000;NASA
NEW MEXICO INSTITUTE OF MINING AND TECHNOLOGY;$120,000;NASA
RECINTO UNIVERSITARIO MAYAGUEZ;$1,558.5;NASA
NAVAJO TECHNICAL COLLEGE;$4,635;NASA
CASE WESTERN RESERVE UNIVERSITY;$135,000;NASA
SAN DIEGO STATE UNIVERSTIY FOUNDATION;$40,000;NASA
UNIVERSITY OF ILLINOIS;$273,840.94;NSF
UNIVERSITY OF TEXAS AT AUSTIN;$733,500;NSF
LELAND STANFORD JUNIOR UNIVERSITY, THE;$244,500;NSF
UNIVERSITY OF WASHINGTON;$129,438.36;NSF
UNIVERSITY OF TEXAS AT ARLINGTON;$135,000;NASA
UNIVERSITY OF MARYLAND;$150,000;NASA
UNIVERSITY OF SOUTHERN MISSISSIPPI;$40,000;NASA
UNIVERSITY OF TEXAS AT AUSTIN;$45,000;NASA
LOYOLA UNIVERSITY OF CHICAGO;$173,956;NSF
TRIANGLE COALITION FOR SCIENCE AND TECHNOLOGY EDUCATION;$1,730,592;NSF
BOARD OF REGENTS OF THE UNIVERSITY OF NEBRASKA;$101,331;NSF
REGENTS OF THE UNIVERSITY OF MINNESOTA;$842,408;NSF
BROWN UNIVERSITY IN PROVIDENCE IN STATE OF RI AND PROVIDENCE PLANTATIONS;$90,000;NASA
REGENTS OF THE UNIVERSITY OF COLORADO, THE;$90,000;NASA
JOHNS HOPKINS UNIVERSITY, THE;$1,033,447;NASA
UNIVERSITY OF SOUTHERN MISSISSIPPI;$90,000;NASA
UNIVERSITY OF TEXAS AT AUSTIN;$90,000;NASA
YALE UNIVERSITY;$90,000;NASA
DORDT COLLEGE, INCORPORATED;$248,652;NSF
HOPE COLLEGE;$399,511;NSF
DREXEL UNIVERSITY;$0;NSF
NATIONAL ACADEMY OF SCIENCES;$99,713;NSF
OREGON STATE UNIVERSITY;$93,239;NSF
WILKES UNIVERSITY;$0;NSF
TRUSTEES OF INDIANA UNIVERSITY;$477,848;NSF
LELAND STANFORD JUNIOR UNIVERSITY, THE;$184,626;NSF
CARTHAGE COLLEGE;$40,800;NASA
SETI INSTITUTE;$35,000;NASA
NORTHERN KENTUCKY UNIVERSITY RESEARCH FOUNDATION, INC.;$497,841;NASA
CARNEGIE MELLON UNIVERSITY;$499,680;NSF
IMPACTSTORY INC.;$297,500;NSF
TRUSTEES OF THE UNIVERSITY OF PENNSYLVANIA;$700,000;NSF
UNIVERSITY OF MASSACHUSETTS;$135,000;NASA
WOODS HOLE OCEANOGRAPHIC INSTITUTION;$135,000;NASA
UNIVERSITY OF ARKANSAS SYSTEM;$135,000;NASA
SAN JOSE STATE UNIVERSITY RESEARCH FOUNDATION;$49,987;NSF
REGENTS OF THE UNIVERSITY OF COLORADO, THE;$53,964.85;NSF
UNIVERSITY OF TEXAS AT AUSTIN;$390,000;NSF
GANNON UNIVERSITY;$49,998;NASA
UNIVERSITY OF CINCINNATI;$45,000;NASA
UNIVERSITY OF WASHINGTON;$250,000;NASA
UTAH STATE UNIVERSITY;$49,914;NASA
GAMEDESK, INC.;$349,723;NSF
UNIVERSITY OF NORTH CAROLINA AT CHARLOTTE;$20,000;NSF
UNIVERSITY OF DELAWARE;$400,000;NSF
OHIO STATE UNIVERSITY, THE;$685,063;NSF
UNIVERSITY OF ILLINOIS;$300,000;NSF
RECTOR & VISITORS OF THE UNIVERSITY OF VIRGINIA;$250,538;NSF
TEMPLE UNIVERSITY-OF THE COMMONWEALTH SYSTEM OF HIGHER EDUCATION;$66,000;NSF
REGENTS OF THE UNIVERSITY OF COLORADO, THE;$45,000;NASA
CARNEGIE MELLON UNIVERSITY;$499,040;NASA
TETHERS UNLIMITED, INC.;$499,791;NASA
UNIVERSITY OF CHICAGO, THE;$89,810;NSF
NORTHWESTERN UNIVERSITY;$140,000;NSF
UNIVERSITY OF CALIFORNIA, DAVIS;$30,794;NSF
UNIVERSITY CORPORATION, THE;$198,457;NASA
TRUSTEES OF PRINCETON UNIVERSITY, THE;$22,000;NASA
SOUTHWEST RESEARCH INSTITUTE;$205,306;NASA
OREGON MUSEUM OF SCIENCE AND INDUSTRY;$1,335,649;NSF
UNIVERSITY OF TEXAS AT EL PASO;$1,374,006;NSF
ABT ASSOCIATES INC.;$199,922;NSF
AUGSBURG COLLEGE;$141,762;NSF
UNIVERSITY OF CALIFORNIA, DAVIS;$1,247,517;NSF
UNIVERSITY OF TEXAS AT SAN ANTONIO;$43,950;NSF
TEXAS A&M UNIVERSITY-CORPUS CHRISTI;$87,582;NASA
INCORPORATED RESEARCH INSTITUTIONS FOR SEISMOLOGY;$54,058,240;NSF
SCIENCE MUSEUM OF MINNESOTA, THE;$899,739;NSF
OCEAN DISCOVERY INSTITUTE;$249,985;NSF
KCP TECHNOLOGIES;$23,761;NSF
REGENTS OF THE UNIVERSITY OF MINNESOTA;$681,390;NSF
FLORIDA STATE UNIVERSITY, THE;$250,016;NSF
AMERICAN SOCIETY FOR ENGINEERING EDUCATION;$271,465;NSF
REGENTS OF THE UNIVERSITY OF MINNESOTA;$350,000;NSF
UNIVERSITY OF CALIFORNIA, SANTA CRUZ;$170,031;NSF
UNIVERSITY OF TEXAS AT AUSTIN;$49,853;NSF
RUTGERS, THE STATE UNIVERSITY OF NEW JERSEY;$24,910;NSF
SYRACUSE UNIVERSITY;$24,974;NSF
NATIONAL ACADEMY OF SCIENCES;$45,383;NSF
OREGON MUSEUM OF SCIENCE AND INDUSTRY;$790,066;NSF
UNIVERSITY OF TEXAS AT AUSTIN;$50,000;NSF
PURDUE UNIVERSITY;$1,497,905;NSF
NATIONAL ACADEMY OF SCIENCES;$652,088;NSF
TRUSTEES OF DARTMOUTH COLLEGE;$148,876;NSF
MAINE MATHEMATICS AND SCIENCE ALLIANCE;$886,096;NSF
JOHNS HOPKINS UNIVERSITY, THE;$796,205;NSF
SMITHSONIAN INSTITUTION;$39,232;NSF
CARNEGIE INSTITUTE;$165,750;NSF
EXPLORATORIUM, THE;$977,830;NSF
NORTH CAROLINA STATE UNIVERSITY;$438,831;NSF
APPALACHIAN STATE UNIVERSITY;$149,785;NASA
OLD DOMINION UNIVERSITY RESEARCH FOUNDATION;$496,702;NASA
MUSEUM OF SCIENCE, INC.;$1,343,449;NSF
UNIVERSITY OF MASSACHUSETTS;$249,999;NSF
UNIVERSITY OF SOUTH FLORIDA;$50,000;NSF
UNIVERSITY OF ALASKA FAIRBANKS;$45,000;NASA
PENNSYLVANIA STATE UNIVERSITY, THE;$436,634;NASA
XAVIER UNIVERSITY OF LOUISIANA;$500,000;NASA
NEW YORK UNIVERSITY;$75,000;NASA
CATHOLIC UNIVERSITY OF AMERICA (THE);$40,170;NASA
AMERICAN UNIVERSITY;$500,000;NASA
UNIVERSITY OF ILLINOIS;$209,370.7;NSF
GEORGIA TECH RESEARCH CORPORATION;$15,913;NSF
UNIVERSITY OF MISSOURI SYSTEM;$25,000;NSF
RECTOR & VISITORS OF THE UNIVERSITY OF VIRGINIA;$799,920;NSF
UNIVERSITY OF CALIFORNIA, SAN DIEGO;$197,514.31;NSF
CARNEGIE MELLON UNIVERSITY;$199,975;NSF
MORGAN STATE UNIVERSITY (INC);$45,973;NSF
COLORADO STATE UNIVERSITY;$58,233;NSF
LELAND STANFORD JUNIOR UNIVERSITY, THE;$250,000;NSF
UNIVERSITY OF ARIZONA;$218,690;NSF
SAN DIEGO STATE UNIVERSTIY FOUNDATION;$726,733;NSF
MATERIALS RESEARCH SOCIETY;$3,000;NSF
FAIRMONT STATE UNIVERSITY;$330,041.4;NASA
WILLIAM MARSH RICE UNIVERSITY;$263,060;NSF
TRUSTEES OF BOSTON UNIVERSITY;$236,917;NSF
YOUNGSTOWN STATE UNIVERSITY;$129,750;NSF
UNIVERSITY OF ARIZONA;$1,499,415;NSF
UNIVERSITY OF CALIFORNIA, IRVINE;$2,819,380;NSF
REGENTS OF THE UNIVERSITY OF MINNESOTA;$119,286;NASA
REGENTS OF THE UNIVERSITY OF COLORADO, THE;$199,513;NASA
UNIVERSITY OF SOUTHERN CALIFORNIA;$99,462;NSF
RESEARCH FOUNDATION OF THE CITY UNIVERSITY OF NEW YORK;$425,440;NSF
TRUSTEES OF INDIANA UNIVERSITY;$419,500;NSF
UNIVERSITY OF MASSACHUSETTS;$300,916;NSF
CONSERVATION INTERNATIONAL FOUNDATION;$620,844;NSF
TOWSON UNIVERSITY;$133,525;NSF
NORTHEASTERN UNIVERSITY;$374,630;NSF
TRUSTEES OF THE UNIVERSITY OF PENNSYLVANIA;$514,999;NSF
RESEARCH FOUNDATION OF THE CITY UNIVERSITY OF NEW YORK;$95,287;NASA
REGENTS OF THE UNIVERSITY OF CALIFORNIA, THE;$749,879;NSF
REGENTS OF THE UNIVERSITY OF MINNESOTA;$566,000;NSF
VIRGINIA POLYTECHNIC INSTITUTE & STATE UNIVERSITY;$150,000;NSF
TEXAS A&M ENGINEERING EXPERIMENT STATION;$120,310;NASA
CHICAGO HORTICULTURAL SOCIETY;$1,130,148;NSF
CLEVELAND STATE UNIVERSITY;$268,699;NSF
DUKE UNIVERSITY;$83,122;NSF
PURDUE UNIVERSITY;$35,343;NSF
NORTHERN ILLINOIS UNIVERSITY INC;$38,289;NSF
TRUSTEES OF THE UNIVERSITY OF PENNSYLVANIA;$600,000;NSF
UNIVERSITY OF MARYLAND;$140,890.8;NSF
PURDUE UNIVERSITY;$3,409,029;NSF
CARNEGIE MELLON UNIVERSITY;$49,971;NASA
RECTOR & VISITORS OF THE UNIVERSITY OF VIRGINIA;$50,000;NASA
AMHERST COLLEGE, TRUSTEES OF;$91,025;NSF
MATHEMATICAL ASSOCIATION OF AMERICA, INC;$833,104;NSF
LONGWOOD UNIVERSITY;$287,186;NSF
UNIVERSITY OF CALIFORNIA, DAVIS;$400,000;NSF
LEHIGH UNIVERSITY;$150,000;NSF
VECARIUS, INC.;$499,900;NSF
RENSSELAER POLYTECHNIC INSTITUTE;$2,468,340;NSF
UNIVERSITY OF PUERTO RICO MEDICAL SCIENCES CAMPUS;$431,523;NSF
UNIVERSITY OF CALIFORNIA, DAVIS;$310,000;NSF
CORNELL UNIVERSITY, INC;$352,047;NSF
DUKE UNIVERSITY;$259,990;NSF
WASHINGTON UNIVERSITY, THE;$398,305;NSF
LELAND STANFORD JUNIOR UNIVERSITY, THE;$145,285;NSF
UNIVERSITY OF NEBRASKA;$448,603;NSF
NORTHEASTERN UNIVERSITY;$524,000;NSF
WESTAT, INC.;$569,483;NSF
JOHNS HOPKINS UNIVERSITY, THE;$247,567;NASA
NORTHWESTERN UNIVERSITY;$13,000;NSF
NMC, INC.;$924,035;NSF
UNIVERSITY OF CALIFORNIA, IRVINE;$3,835,250;NSF
GEORGIA TECH RESEARCH CORPORATION;$477,724;NSF
EDUCATION DEVELOPMENT CENTER, INC.;$4,543,465;NSF
UNIVERSITY OF CALIFORNIA, SAN DIEGO;$329,320;NSF
UNIVERSITY OF HAWAII SYSTEMS;$3,015,545;NASA
UNIVERSITY OF HOUSTON SYSTEM;$141,930;NASA
UNIVERSITY OF MIAMI;$91,461.57;NASA
TEXAS A&M ENGINEERING EXPERIMENT STATION;$150,000;NASA
UNIVERSITY OF MARYLAND;$176,368;NASA
UNIVERSITY OF GEORGIA RESEARCH FOUNDATION, INC.;$17,213;NSF
GEORGIA TECH RESEARCH CORPORATION;$90,594;NSF
UNIVERSITY OF WASHINGTON;$1,993,731;NSF
TRUSTEES OF INDIANA UNIVERSITY;$88,168;NSF
OHIO STATE UNIVERSITY, THE;$98,721;NSF
CENTRAL STATE UNIVERSITY;$99,996;NSF
UNIVERSITY OF CALIFORNIA MERCED;$552,355;NSF
REGENTS OF THE UNIVERSITY OF COLORADO, THE;$50,434;NASA
UNIVERSITY OF FLORIDA;$1,440,431;NSF
CARNEGIE MELLON UNIVERSITY;$650,000;NSF
TEXAS A&M UNIVERSITY-CORPUS CHRISTI;$1,497,936;NSF
THE GEORGE WASHINGTON UNIVERSITY;$270,000;NASA
UNIVERSITY OF ARIZONA;$294,054;NASA
GEORGIA TECH RESEARCH CORPORATION;$46,030.38;NASA
STROUD WATER RESEARCH CENTER INC;$1,366,089;NSF
SMITHSONIAN INSTITUTION;$875,000;NSF
BAYLOR UNIVERSITY;$52,670;NSF
UNIVERSITY OF WASHINGTON;$69,152;NSF
REGENTS OF THE UNIVERSITY OF CALIFORNIA, THE;$498,412;NSF
CAL POLY CORPORATION;$105,710;NSF
CARNEGIE MELLON UNIVERSITY;$1,503,349;NSF
SIENA COLLEGE (INC);$61,323;NASA
UNIVERSITY OF TENNESSEE;$225,000;NSF
